<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.29	20:46:00	3957.23	3959.10	3952.21	3956.38	117	0	16
2025.10.29	20:47:00	3956.20	3960.26	3952.60	3953.45	111	0	16
2025.10.29	20:48:00	3953.83	3958.45	3952.21	3954.77	113	0	16
2025.10.29	20:49:00	3954.89	3954.89	3948.27	3950.98	113	0	17
2025.10.29	20:50:00	3951.01	3956.47	3950.26	3956.47	111	0	5
2025.10.29	20:51:00	3955.69	3959.97	3953.20	3959.49	109	0	17
2025.10.29	20:52:00	3959.81	3960.37	3954.33	3955.79	110	0	17
2025.10.29	20:53:00	3956.21	3958.46	3954.49	3955.90	108	0	17
2025.10.29	20:54:00	3956.03	3958.78	3952.35	3956.66	115	0	5
2025.10.29	20:55:00	3956.48	3967.09	3956.48	3963.13	107	0	5
2025.10.29	20:56:00	3962.79	3968.88	3961.72	3968.82	105	0	5
2025.10.29	20:57:00	3968.26	3971.29	3967.22	3971.15	104	0	17
2025.10.29	20:58:00	3971.08	3972.68	3967.97	3971.12	105	0	17
2025.10.29	20:59:00	3971.59	3972.36	3967.87	3969.38	101	0	17
2025.10.29	21:00:00	3969.50	3979.57	3969.49	3976.95	112	0	17
2025.10.29	21:01:00	3977.70	3978.02	3964.64	3965.60	113	0	5
2025.10.29	21:02:00	3965.50	3965.92	3960.52	3962.43	116	0	17
2025.10.29	21:03:00	3962.12	3965.51	3958.34	3958.62	113	0	17
2025.10.29	21:04:00	3958.57	3959.68	3953.62	3955.68	108	0	15
2025.10.29	21:05:00	3955.63	3962.55	3955.63	3962.55	114	0	17
2025.10.29	21:06:00	3962.88	3963.95	3959.77	3961.58	103	0	17
2025.10.29	21:07:00	3961.57	3968.83	3961.57	3966.39	108	0	17
2025.10.29	21:08:00	3966.70	3967.07	3962.65	3962.90	106	0	17
2025.10.29	21:09:00	3963.03	3964.76	3962.00	3963.66	100	0	17
2025.10.29	21:10:00	3963.89	3967.33	3962.09	3965.37	105	0	17
2025.10.29	21:11:00	3965.41	3969.20	3963.57	3969.07	105	0	17
2025.10.29	21:12:00	3969.37	3969.38	3964.84	3968.73	107	0	17
2025.10.29	21:13:00	3968.50	3971.57	3967.66	3971.42	103	0	17
2025.10.29	21:14:00	3971.35	3971.64	3968.24	3969.99	102	0	17
2025.10.29	21:15:00	3970.56	3972.43	3966.50	3966.64	101	0	17
2025.10.29	21:16:00	3966.59	3968.58	3966.24	3967.66	99	0	17
2025.10.29	21:17:00	3967.59	3970.43	3967.18	3969.98	104	0	17
2025.10.29	21:18:00	3969.88	3970.06	3964.69	3967.34	102	0	17
2025.10.29	21:19:00	3967.26	3967.98	3964.57	3965.52	102	0	17
2025.10.29	21:20:00	3965.48	3967.71	3963.41	3967.71	105	0	17
2025.10.29	21:21:00	3967.86	3970.93	3967.86	3970.93	106	0	17
2025.10.29	21:22:00	3970.86	3974.17	3966.38	3967.24	107	0	17
2025.10.29	21:23:00	3967.14	3968.79	3960.57	3960.57	108	0	6
2025.10.29	21:24:00	3960.93	3961.37	3957.44	3959.84	106	0	17
2025.10.29	21:25:00	3959.85	3967.21	3959.50	3966.79	110	0	17
2025.10.29	21:26:00	3966.66	3966.99	3964.42	3964.71	102	0	17
2025.10.29	21:27:00	3964.10	3964.95	3960.70	3961.33	104	0	17
2025.10.29	21:28:00	3961.39	3961.55	3952.14	3952.93	102	0	17
2025.10.29	21:29:00	3952.85	3954.18	3951.29	3953.34	102	0	14
2025.10.29	21:30:00	3953.48	3954.49	3950.11	3953.99	108	0	17
2025.10.29	21:31:00	3953.91	3954.04	3945.80	3948.36	111	0	17
2025.10.29	21:32:00	3948.35	3948.36	3943.68	3944.50	111	0	17
2025.10.29	21:33:00	3944.58	3946.11	3938.63	3942.44	113	0	17
2025.10.29	21:34:00	3943.17	3946.72	3942.50	3946.72	104	0	17
2025.10.29	21:35:00	3946.77	3946.88	3943.46	3945.03	100	0	17
2025.10.29	21:36:00	3945.04	3945.53	3940.23	3942.05	107	0	5
2025.10.29	21:37:00	3941.92	3945.93	3941.20	3943.02	107	0	16
2025.10.29	21:38:00	3943.07	3945.37	3941.58	3942.38	105	0	16
2025.10.29	21:39:00	3942.30	3942.52	3939.21	3939.59	103	0	16
2025.10.29	21:40:00	3940.10	3940.10	3933.98	3935.44	105	0	17
2025.10.29	21:41:00	3935.61	3941.67	3935.61	3938.65	104	0	17
2025.10.29	21:42:00	3938.61	3939.30	3934.22	3938.01	106	0	17
2025.10.29	21:43:00	3937.91	3938.89	3931.98	3931.98	105	0	16
2025.10.29	21:44:00	3932.46	3933.77	3928.04	3928.97	113	0	5
2025.10.29	21:45:00	3929.09	3937.45	3929.09	3937.45	107	0	13
2025.10.29	21:46:00	3937.08	3937.98	3933.36	3933.36	105	0	17
2025.10.29	21:47:00	3933.35	3938.57	3933.35	3936.80	105	0	16
2025.10.29	21:48:00	3937.06	3941.56	3937.06	3940.72	104	0	16
2025.10.29	21:49:00	3940.69	3944.79	3940.34	3941.86	107	0	16
2025.10.29	21:50:00	3941.96	3949.32	3941.80	3946.75	108	0	17
2025.10.29	21:51:00	3946.69	3947.06	3942.98	3945.27	106	0	17
2025.10.29	21:52:00	3945.16	3947.03	3942.97	3943.30	100	0	17
2025.10.29	21:53:00	3943.53	3946.43	3943.41	3944.99	101	0	17
2025.10.29	21:54:00	3945.34	3947.28	3944.71	3945.29	102	0	16
2025.10.29	21:55:00	3945.17	3947.59	3945.17	3945.89	97	0	16
2025.10.29	21:56:00	3945.48	3947.28	3944.37	3944.63	99	0	16
2025.10.29	21:57:00	3944.99	3945.93	3943.45	3945.16	102	0	16
2025.10.29	21:58:00	3946.08	3946.15	3943.90	3945.91	101	0	16
2025.10.29	21:59:00	3945.76	3946.10	3944.01	3945.78	100	0	16
2025.10.29	22:00:00	3945.54	3949.21	3939.36	3948.21	103	0	16
2025.10.29	22:01:00	3947.66	3948.39	3937.68	3937.68	104	0	5
2025.10.29	22:02:00	3938.56	3944.78	3938.56	3939.04	101	0	5
2025.10.29	22:03:00	3939.06	3942.06	3936.19	3942.06	102	0	5
2025.10.29	22:04:00	3942.00	3943.62	3941.42	3942.15	104	0	17
2025.10.29	22:05:00	3942.23	3942.76	3940.24	3940.26	88	0	17
2025.10.29	22:06:00	3940.31	3940.41	3934.32	3935.43	94	0	17
2025.10.29	22:07:00	3936.12	3937.98	3932.63	3933.79	102	0	16
2025.10.29	22:08:00	3934.27	3935.24	3933.33	3934.34	101	0	6
2025.10.29	22:09:00	3934.38	3940.97	3933.14	3938.58	96	0	16
2025.10.29	22:10:00	3938.60	3938.91	3935.52	3937.84	77	0	16
2025.10.29	22:11:00	3938.01	3942.30	3938.01	3942.17	83	0	16
2025.10.29	22:12:00	3942.13	3943.76	3941.61	3941.70	89	0	16
2025.10.29	22:13:00	3941.74	3942.95	3940.68	3940.92	80	0	16
2025.10.29	22:14:00	3940.93	3941.97	3940.17	3941.59	85	0	16
2025.10.29	22:15:00	3941.28	3942.17	3940.60	3940.80	77	0	16
2025.10.29	22:16:00	3940.79	3941.63	3939.11	3939.84	79	0	16
2025.10.29	22:17:00	3939.80	3940.91	3938.56	3938.61	91	0	16
2025.10.29	22:18:00	3938.62	3939.09	3937.10	3938.50	76	0	16
2025.10.29	22:19:00	3938.55	3938.88	3937.82	3938.78	65	0	16
2025.10.29	22:20:00	3938.78	3939.32	3937.15	3939.26	75	0	16
2025.10.29	22:21:00	3939.58	3941.97	3938.68	3941.23	73	0	16
2025.10.29	22:22:00	3941.26	3944.96	3940.52	3940.54	79	0	16
2025.10.29	22:23:00	3940.90	3942.74	3940.64	3942.52	82	0	16
2025.10.29	22:24:00	3942.52	3952.72	3941.61	3951.61	93	0	16
2025.10.29	22:25:00	3952.11	3953.13	3948.35	3953.05	102	0	16
2025.10.29	22:26:00	3953.97	3954.03	3943.85	3947.62	102	0	17
2025.10.29	22:27:00	3947.46	3951.75	3947.46	3951.75	87	0	17
2025.10.29	22:28:00	3951.73	3951.73	3948.01	3948.47	87	0	17
2025.10.29	22:29:00	3948.63	3948.94	3946.78	3948.53	90	0	17
2025.10.29	22:30:00	3948.70	3949.83	3946.85	3949.83	79	0	17
2025.10.29	22:31:00	3950.11	3950.11	3944.81	3945.42	86	0	17
2025.10.29	22:32:00	3945.37	3948.43	3944.75	3945.93	83	0	17
2025.10.29	22:33:00	3946.05	3948.29	3945.72	3947.86	80	0	17
2025.10.29	22:34:00	3947.87	3948.35	3946.22	3946.48	84	0	17
2025.10.29	22:35:00	3946.41	3947.39	3944.83	3945.06	82	0	14
2025.10.29	22:36:00	3945.00	3946.31	3943.93	3943.98	69	0	17
2025.10.29	22:37:00	3943.99	3945.32	3943.30	3944.56	80	0	17
2025.10.29	22:38:00	3944.61	3945.38	3943.99	3945.02	66	0	17
2025.10.29	22:39:00	3945.04	3945.36	3943.93	3944.60	54	0	17
2025.10.29	22:40:00	3944.61	3944.92	3943.48	3944.87	71	0	17
2025.10.29	22:41:00	3944.87	3945.68	3944.27	3944.56	78	0	17
2025.10.29	22:42:00	3944.56	3944.84	3940.93	3941.13	86	0	13
2025.10.29	22:43:00	3941.13	3941.99	3940.07	3941.68	68	0	17
2025.10.29	22:44:00	3941.68	3941.82	3935.26	3936.17	97	0	17
2025.10.29	22:45:00	3936.54	3941.18	3936.34	3938.58	86	0	12
2025.10.29	22:46:00	3938.60	3939.52	3937.85	3938.81	66	0	17
2025.10.29	22:47:00	3938.69	3939.22	3932.64	3934.09	96	0	17
2025.10.29	22:48:00	3934.10	3935.40	3933.44	3934.87	86	0	17
2025.10.29	22:49:00	3934.88	3935.39	3933.77	3933.81	72	0	17
2025.10.29	22:50:00	3933.66	3933.77	3931.73	3931.97	80	0	17
2025.10.29	22:51:00	3932.06	3932.36	3928.55	3929.19	80	0	16
2025.10.29	22:52:00	3929.33	3930.50	3928.02	3929.48	78	0	16
2025.10.29	22:53:00	3929.54	3932.61	3929.24	3930.11	87	0	16
2025.10.29	22:54:00	3930.09	3930.55	3928.94	3929.47	68	0	6
2025.10.29	22:55:00	3929.09	3929.39	3927.89	3929.24	66	0	50
2025.10.29	22:56:00	3929.24	3930.61	3928.89	3929.69	100	0	50
2025.10.29	22:57:00	3929.69	3930.94	3928.65	3928.72	112	0	50
2025.10.29	22:58:00	3928.72	3930.49	3928.72	3930.07	103	0	50
2025.10.30	00:00:00	3927.13	3929.92	3916.16	3927.95	242	0	19
2025.10.30	00:01:00	3926.91	3930.58	3924.96	3927.15	184	0	18
2025.10.30	00:02:00	3927.15	3927.41	3925.30	3925.67	143	0	17
2025.10.30	00:03:00	3925.67	3928.34	3925.67	3925.95	112	0	16
2025.10.30	00:04:00	3925.95	3927.27	3921.39	3922.17	142	0	16
2025.10.30	00:05:00	3922.22	3927.11	3917.30	3926.25	82	0	5
2025.10.30	00:06:00	3926.02	3926.12	3921.33	3921.71	73	0	17
2025.10.30	00:07:00	3921.71	3931.11	3921.01	3931.11	85	0	17
2025.10.30	00:08:00	3931.07	3935.29	3929.19	3933.86	97	0	5
2025.10.30	00:09:00	3933.69	3935.30	3930.39	3930.50	66	0	17
2025.10.30	00:10:00	3930.44	3936.99	3930.27	3934.99	86	0	17
2025.10.30	00:11:00	3935.03	3936.04	3934.04	3936.04	69	0	17
2025.10.30	00:12:00	3936.04	3937.80	3934.62	3935.44	75	0	5
2025.10.30	00:13:00	3935.52	3937.88	3934.32	3937.87	64	0	5
2025.10.30	00:14:00	3937.86	3939.96	3936.59	3938.34	75	0	17
2025.10.30	00:15:00	3937.90	3938.20	3934.84	3934.85	73	0	17
2025.10.30	00:16:00	3934.99	3941.42	3934.81	3940.38	81	0	17
2025.10.30	00:17:00	3940.42	3945.08	3935.99	3936.08	94	0	10
2025.10.30	00:18:00	3936.08	3936.08	3931.97	3934.09	95	0	12
2025.10.30	00:19:00	3934.05	3935.40	3930.44	3931.08	85	0	17
2025.10.30	00:20:00	3931.09	3932.97	3929.96	3930.62	68	0	17
2025.10.30	00:21:00	3930.80	3931.59	3925.51	3925.51	92	0	17
2025.10.30	00:22:00	3925.46	3928.50	3925.21	3926.62	89	0	17
2025.10.30	00:23:00	3926.38	3930.83	3926.28	3930.14	85	0	17
2025.10.30	00:24:00	3930.35	3932.98	3928.76	3932.98	64	0	17
2025.10.30	00:25:00	3932.97	3936.65	3932.31	3935.63	74	0	8
2025.10.30	00:26:00	3935.63	3940.72	3934.21	3934.21	83	0	17
2025.10.30	00:27:00	3935.07	3936.70	3933.22	3936.03	83	0	17
2025.10.30	00:28:00	3936.02	3937.38	3935.45	3937.34	61	0	17
2025.10.30	00:29:00	3937.41	3937.69	3936.20	3937.56	63	0	17
2025.10.30	00:30:00	3937.57	3937.73	3932.90	3934.57	93	0	17
2025.10.30	00:31:00	3935.08	3935.10	3931.52	3933.12	85	0	17
2025.10.30	00:32:00	3933.19	3935.37	3931.39	3935.24	64	0	17
2025.10.30	00:33:00	3935.35	3937.63	3935.06	3936.37	78	0	17
2025.10.30	00:34:00	3936.37	3936.42	3934.79	3935.38	69	0	17
2025.10.30	00:35:00	3935.35	3935.96	3934.60	3935.75	73	0	17
2025.10.30	00:36:00	3935.53	3938.96	3935.53	3938.68	74	0	6
2025.10.30	00:37:00	3938.89	3940.37	3936.44	3936.74	94	0	17
2025.10.30	00:38:00	3937.11	3938.33	3936.84	3937.70	79	0	17
2025.10.30	00:39:00	3937.71	3939.08	3937.44	3939.08	53	0	17
2025.10.30	00:40:00	3938.94	3941.22	3937.74	3941.13	90	0	17
2025.10.30	00:41:00	3940.90	3942.13	3939.54	3942.01	74	0	17
2025.10.30	00:42:00	3941.73	3942.04	3940.70	3941.91	78	0	17
2025.10.30	00:43:00	3942.27	3942.43	3941.07	3942.37	77	0	16
2025.10.30	00:44:00	3942.38	3942.38	3940.74	3941.42	67	0	16
2025.10.30	00:45:00	3941.42	3944.43	3940.57	3944.43	76	0	16
2025.10.30	00:46:00	3944.46	3946.21	3943.26	3944.60	89	0	16
2025.10.30	00:47:00	3944.57	3945.15	3943.93	3944.63	71	0	17
2025.10.30	00:48:00	3944.47	3947.42	3943.98	3947.30	81	0	17
2025.10.30	00:49:00	3947.34	3948.33	3946.34	3946.34	84	0	17
2025.10.30	00:50:00	3946.32	3946.97	3944.94	3946.44	79	0	17
2025.10.30	00:51:00	3946.50	3946.70	3944.39	3945.26	76	0	17
2025.10.30	00:52:00	3945.12	3945.67	3943.77	3943.86	62	0	17
2025.10.30	00:53:00	3943.83	3944.74	3942.81	3944.69	74	0	17
2025.10.30	00:54:00	3944.73	3944.92	3944.05	3944.23	68	0	17
2025.10.30	00:55:00	3944.23	3944.89	3942.91	3944.88	67	0	17
2025.10.30	00:56:00	3944.88	3946.00	3943.69	3945.07	76	0	17
2025.10.30	00:57:00	3945.20	3945.21	3943.36	3943.37	68	0	17
2025.10.30	00:58:00	3943.38	3943.38	3940.82	3940.82	75	0	17
2025.10.30	00:59:00	3941.05	3941.52	3940.74	3941.41	72	0	17
2025.10.30	01:00:00	3941.30	3942.12	3940.72	3940.72	71	0	17
2025.10.30	01:01:00	3940.79	3941.42	3939.56	3939.90	82	0	17
2025.10.30	01:02:00	3939.90	3941.49	3939.90	3940.70	72	0	17
2025.10.30	01:03:00	3940.92	3942.90	3940.92	3941.99	77	0	16
2025.10.30	01:04:00	3941.91	3943.15	3940.78	3942.73	81	0	16
2025.10.30	01:05:00	3942.54	3944.12	3941.53	3944.12	82	0	16
2025.10.30	01:06:00	3944.13	3948.44	3943.95	3947.03	91	0	16
2025.10.30	01:07:00	3946.93	3948.03	3945.31	3945.45	79	0	16
2025.10.30	01:08:00	3945.45	3945.75	3942.28	3943.03	66	0	16
2025.10.30	01:09:00	3943.09	3944.27	3941.65	3942.12	79	0	16
2025.10.30	01:10:00	3942.12	3944.02	3941.79	3943.97	72	0	16
2025.10.30	01:11:00	3943.61	3944.49	3943.61	3944.12	65	0	16
2025.10.30	01:12:00	3944.24	3946.03	3944.17	3945.69	75	0	16
2025.10.30	01:13:00	3945.69	3947.12	3945.06	3946.68	73	0	16
2025.10.30	01:14:00	3946.61	3947.05	3945.14	3946.10	71	0	17
2025.10.30	01:15:00	3946.09	3948.54	3945.28	3945.28	74	0	17
2025.10.30	01:16:00	3945.29	3945.47	3944.16	3944.28	79	0	17
2025.10.30	01:17:00	3944.29	3944.71	3943.92	3944.71	50	0	17
2025.10.30	01:18:00	3944.70	3945.69	3944.30	3945.16	72	0	12
2025.10.30	01:19:00	3945.15	3946.48	3945.15	3946.35	66	0	16
2025.10.30	01:20:00	3946.36	3947.27	3946.20	3947.27	61	0	16
2025.10.30	01:21:00	3947.27	3947.27	3946.41	3947.24	66	0	16
2025.10.30	01:22:00	3947.33	3949.65	3947.30	3949.51	81	0	16
2025.10.30	01:23:00	3949.50	3949.72	3948.51	3948.68	67	0	16
2025.10.30	01:24:00	3948.93	3950.28	3948.71	3949.84	69	0	16
2025.10.30	01:25:00	3949.85	3950.51	3949.21	3950.13	81	0	16
2025.10.30	01:26:00	3950.15	3951.02	3949.46	3949.93	71	0	16
2025.10.30	01:27:00	3949.93	3950.88	3949.68	3950.85	57	0	17
2025.10.30	01:28:00	3950.85	3950.92	3948.86	3950.01	73	0	17
2025.10.30	01:29:00	3950.04	3951.25	3950.04	3950.42	65	0	17
2025.10.30	01:30:00	3950.40	3950.64	3949.98	3949.98	58	0	17
2025.10.30	01:31:00	3949.92	3950.16	3948.39	3948.69	78	0	17
2025.10.30	01:32:00	3948.69	3949.84	3948.21	3949.21	77	0	16
2025.10.30	01:33:00	3949.22	3950.09	3948.22	3950.09	61	0	16
2025.10.30	01:34:00	3950.29	3950.29	3949.22	3949.99	62	0	16
2025.10.30	01:35:00	3950.03	3950.03	3948.37	3948.39	66	0	16
2025.10.30	01:36:00	3948.26	3948.40	3947.45	3947.77	64	0	16
2025.10.30	01:37:00	3948.11	3949.92	3948.11	3949.00	70	0	16
2025.10.30	01:38:00	3948.98	3949.54	3947.40	3949.36	77	0	16
2025.10.30	01:39:00	3949.38	3949.73	3948.42	3949.36	76	0	17
2025.10.30	01:40:00	3949.36	3949.41	3947.61	3947.84	68	0	17
2025.10.30	01:41:00	3947.87	3948.61	3947.59	3947.92	71	0	17
2025.10.30	01:42:00	3947.92	3947.93	3945.38	3945.80	68	0	5
2025.10.30	01:43:00	3945.81	3946.49	3944.32	3944.48	82	0	17
2025.10.30	01:44:00	3944.50	3945.34	3944.30	3945.12	74	0	17
2025.10.30	01:45:00	3945.14	3945.14	3941.21	3941.25	82	0	17
2025.10.30	01:46:00	3941.27	3943.62	3941.20	3942.87	86	0	16
2025.10.30	01:47:00	3942.97	3946.45	3942.97	3946.45	69	0	16
2025.10.30	01:48:00	3946.38	3948.27	3946.21	3947.73	77	0	16
2025.10.30	01:49:00	3947.73	3952.15	3947.04	3952.08	81	0	16
2025.10.30	01:50:00	3952.10	3952.10	3947.75	3950.21	90	0	17
2025.10.30	01:51:00	3950.16	3950.97	3949.55	3950.02	77	0	17
2025.10.30	01:52:00	3950.02	3950.58	3949.37	3950.12	76	0	17
2025.10.30	01:53:00	3950.07	3950.07	3948.17	3948.50	70	0	17
2025.10.30	01:54:00	3948.51	3948.57	3946.94	3947.25	69	0	17
2025.10.30	01:55:00	3946.98	3948.82	3946.78	3948.67	68	0	17
2025.10.30	01:56:00	3948.54	3950.20	3948.54	3950.08	71	0	17
2025.10.30	01:57:00	3950.07	3950.12	3948.98	3949.70	53	0	17
2025.10.30	01:58:00	3949.70	3953.30	3949.61	3952.99	77	0	17
2025.10.30	01:59:00	3953.00	3953.94	3952.62	3952.81	78	0	17
2025.10.30	02:00:00	3952.81	3955.30	3952.04	3954.79	85	0	12
2025.10.30	02:01:00	3954.75	3962.85	3953.68	3961.88	94	0	10
2025.10.30	02:02:00	3962.08	3962.08	3956.21	3958.26	97	0	16
2025.10.30	02:03:00	3958.73	3960.94	3957.61	3960.39	90	0	16
2025.10.30	02:04:00	3960.61	3962.64	3959.17	3959.17	91	0	16
2025.10.30	02:05:00	3959.16	3960.74	3958.29	3959.88	95	0	16
2025.10.30	02:06:00	3960.01	3960.07	3956.91	3957.99	85	0	17
2025.10.30	02:07:00	3957.87	3958.72	3957.18	3957.18	77	0	17
2025.10.30	02:08:00	3957.13	3958.41	3956.72	3958.36	67	0	17
2025.10.30	02:09:00	3958.80	3959.77	3957.91	3959.66	76	0	17
2025.10.30	02:10:00	3959.90	3959.90	3957.87	3957.94	78	0	17
2025.10.30	02:11:00	3958.18	3958.69	3955.26	3956.65	87	0	17
2025.10.30	02:12:00	3956.88	3957.91	3956.61	3957.43	71	0	17
